term	sem	class	bi	ni	IDF	ICF	Chi-sq	CG	ICB	DoP	KeyBERT	KeyLLM	RICF
IL-12_signal_transduction_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	138.0	-0.0003806235054338858	0.0005	0.0	-0.0002509284794403044
IL-12_signal_transduction_pathway_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	138.0	-0.0003806235054338858	0.0005	0.0005	-0.0002509284794403044
IL-12_signaling_lex	G#other_name	other	4	6	6.214608098422191	11.009194062051987	158.86497139036314	1.5	278.75	-0.002129285117347446	0.002	0.0015	0.40438257128516675
IL-12_signaling_pathway_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.70159535792338	1.0	193.0	-0.0005323212793374443	0.0005	0.0005	-0.0002509284794403044
IL-12p40_lex	G#protein_molecule	amino_acid	1	1	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	174.0	-0.0004799165938059735	0.0005	0.0	-0.0002509284794403044
IL-12p40_mRNA_expression_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	174.0	-0.0004799165938059735	0.0005	0.0	-0.0002509284794403044
IL-12p40_mRNA_lex	G#RNA_molecule	nucleotide	1	1	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	174.0	-0.0004799165938059735	0.0005	0.0005	-0.0002509284794403044
IL-13-induced_expression_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	169.0	-0.0004661258870886087	0.0005	0.0	-0.0002509284794403044
IL-13-induced_regulatory_factor_lex	G#protein_family_or_group	amino_acid	1	1	7.600902459542082	12.800953531280044	0.7015953579233685	1.0	136.0	-0.00037510722274491926	0.0005	0.0	-0.0002509284794403044
IL-13-induced_response_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	169.0	-0.0004661258870886087	0.0005	0.0	-0.0002509284794403044
IL-13-treated_human_peripheral_monocyte_lex	G#cell_line	cell	1	1	7.600902459542082	12.800953531280044	0.7015953579233685	1.0	136.0	-0.00037510722274491926	0.0005	0.0	-0.0002509284794403044
IL-13-treated_human_peripheral_monocyte_nuclear_extract_lex	G#cell_component	cell	1	1	7.600902459542082	12.800953531280044	0.7015953579233685	1.0	136.0	-0.00037510722274491926	0.0005	0.0005	-0.0002509284794403044
IL-13/IL-4_gene_locus_lex	G#DNA_domain_or_region	nucleotide	1	1	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	127.0	-0.00035028395065150875	0.0	0.0	-0.0002509284794403044
IL-13R_alpha1-positive_THP-1_cell_lex	G#cell_line	cell	1	1	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	169.0	-0.0004661258870886087	0.0005	0.0005	-0.0002509284794403044
IL-13R_alpha1_expression_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	169.0	-0.0004661258870886087	0.0005	0.0	-0.0002509284794403044
IL-13R_alpha1_lex	G#protein_molecule	amino_acid	1	7	7.600902459542082	10.85504338222473	inf	7.0	1183.0	-0.0004661258870886087	0.0005	0.0	1.9456592205758731
IL-13R_alpha_chain_lex	G#protein_subunit	amino_acid	1	1	7.600902459542082	12.800953531280044	0.7015953579233685	1.0	181.0	-0.0004992235832133041	0.0005	0.0005	-0.0002509284794403044
IL-13R_lex	G#protein_molecule	amino_acid	2	4	6.907755278982137	11.414659170160153	310.5731626574329	2.0	381.0	-0.0010508518519561916	0.001	0.001	0.6926154811123251
IL-13Ralpha1_chain_lex	G#protein_subunit	amino_acid	1	1	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	169.0	-0.0004661258870886087	0.0005	0.0	-0.0002509284794403044
IL-13_P_element_site_lex	G#DNA_domain_or_region	nucleotide	1	1	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	202.0	-0.0005571445514309659	0.0005	0.0	-0.0002509284794403044
IL-13_gene_5'_flank_region_lex	G#DNA_domain_or_region	nucleotide	1	1	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	202.0	-0.0005571445514309659	0.0	0.0	-0.0002509284794403044
IL-13_gene_expression_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	202.0	-0.0005571445514309659	0.0005	0.0	-0.0002509284794403044
IL-13_gene_lex	G#DNA_domain_or_region	nucleotide	1	3	7.600902459542082	11.702341242611933	inf	3.0	606.0	-0.0005571445514309659	0.0005	0.0	1.0983613601886706
IL-13_level_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	319.0	-0.0008798470886441923	0.0005	0.0	-0.0002509284794403044
IL-13_lex	G#protein_molecule	amino_acid	16	75	4.8283137373023015	8.483465417743732	inf	4.6875	940.0	-0.008191679790824247	0.0065	0.007	1.540530951472208
IL-13_mRNA_expression_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	202.0	-0.0005571445514309659	0.0005	0.0	-0.0002509284794403044
IL-13_mRNA_lex	G#RNA_molecule	nucleotide	1	1	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	202.0	-0.0005571445514309659	0.0005	0.0	-0.0002509284794403044
IL-13_receptor_complex_lex	G#protein_complex	amino_acid	1	2	7.600902459542082	12.107806350720098	311.07403557203764	2.0	338.0	-0.0004661258870886087	0.0005	0.0005	0.6928962520805051
IL-13_treatment_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233685	1.0	136.0	-0.00037510722274491926	0.0005	0.0005	-0.0002509284794403044
IL-15R_lex	G#protein_molecule	amino_acid	1	1	7.600902459542082	12.800953531280044	0.70159535792338	1.0	191.0	-0.000526804996649588	0.0005	0.0	-0.0002509284794403044
IL-15_lex	G#protein_molecule	amino_acid	9	14	5.403677882205863	10.161896201664785	308.07254377354235	1.5555555555555556	255.77777777777777	-0.0041785841357246944	0.0025	0.003	0.43938156466952627
IL-16_expression_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	211.0	-0.0005819678235243764	0.0005	0.0	-0.0002509284794403044
IL-16_lex	G#protein_molecule	amino_acid	1	7	7.600902459542082	10.85504338222473	inf	7.0	1477.0	-0.0005819678235243764	0.0005	0.0	1.9456592205758731
IL-16_promoter_lex	G#DNA_domain_or_region	nucleotide	1	1	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	211.0	-0.0005819678235243764	0.0005	0.0	-0.0002509284794403044
IL-18-induced_activation_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	121.0	-0.0003337351025893831	0.0005	0.0005	-0.0002509284794403044
IL-18_lex	G#protein_molecule	amino_acid	1	3	7.600902459542082	11.702341242611933	inf	3.0	363.0	-0.0003337351025893831	0.0005	0.0005	1.0983613601886706
